botid, date, time, press, boxy, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200212, 012093, 012624,    8.9,  211.6,
0440200211, 012093, 012521,   34.5,  211.8,
0440200209, 012093, 012228,  101.7,  211.6,
0440200208, 012093, 012138,  105.5,  211.0,
0440200207, 012093, 012005,  146.7,  210.8,
0440200412, 012093, 065339,  135.1,  206.0,
0440200411, 012093, 064858,  149.7,  195.7,
0440200410, 012093, 064754,  160.5,  193.6,
0440200409, 012093, 064644,  173.8,  192.0,
0440200408, 012093, 064544,  198.1,  194.1,
0440200407, 012093, 064443,  198.1,  195.9,
0440200401, 012093, 061847,    8.9,  212.1,
0440200512, 012093, 100604,    9.1,  211.6,
0440200511, 012093, 100428,   24.7,  211.5,
0440200510, 012093, 100321,   35.6,  210.5,
0440200509, 012093, 100211,   45.3,  211.4,
0440200507, 012093, 095907,   75.5,  210.9,
0440200506, 012093, 095814,   86.1,  210.7,
0440200505, 012093, 095707,   95.3,  210.6,
0440200504, 012093, 095551,  104.0,  210.4,
0440200503, 012093, 095502,  111.2,  208.0,
0440200502, 012093, 095354,  130.4,  209.2,
0450200122, 021693, 160720,   81.2,  200.6,
0450200224, 021693, 193718,    7.7,  211.3,
0450200223, 021693, 193555,   15.7,  211.3,
0450200222, 021693, 193424,   25.8,  211.6,
0450200221, 021693, 193206,   50.7,  211.4,
0450200220, 021693, 192944,   95.4,  200.8,
0450200219, 021693, 192747,  100.4,  200.2,
0450200218, 021693, 192619,  110.5,  195.2,
0450200217, 021693, 192346,  144.5,  192.0,
0450200621, 021793, 071005,    5.1,  211.4,
0450200620, 021793, 070835,   14.9,  210.5,
0450200618, 021793, 070703,   24.3,  211.1,
0450200617, 021793, 070557,   35.5,  210.8,
0450200616, 021793, 070450,   45.4,  211.4,
0450200615, 021793, 070319,   58.7,  209.1,
0450200614, 021793, 070157,   74.3,  207.3,
0450200613, 021793, 070040,   84.6,  205.7,
0450200612, 021793, 065942,   94.6,  204.0,
0450200610, 021793, 065657,  114.5,  195.9,
0450200609, 021793, 065354,  124.5,  193.0,
0450200608, 021793, 065233,  137.0,  191.9,
0450200607, 021793, 065048,  151.5,  193.6,
0450200606, 021793, 064924,  161.8,  195.0,
0450200605, 021793, 064800,  175.4,  195.4,
0450200604, 021793, 064605,  186.6,  195.9,
0460200124, 041393, 212305,   11.2,  213.9,
0460200123, 041393, 211723,  191.9,  197.6,
0460200224, 041493, 020841,    5.9,  214.2,
0460200223, 041493, 020522,   57.3,  214.2,
0460200221, 041493, 020018,  158.0,  198.4,
0460200220, 041493, 015810,  175.1,  200.2,
0460200219, 041493, 015718,  181.4,  199.4,
0460200218, 041493, 015554,  197.8,  197.1,
0460200323, 041493, 071322,    3.8,  213.9,
0460200322, 041493, 071130,   15.0,  213.9,
0460200320, 041493, 071013,   26.0,  217.7,
0460200319, 041493, 070922,   34.9,  214.6,
0460200318, 041493, 070831,   44.4,  214.1,
0460200317, 041493, 070738,   60.2,  216.4,
0460200316, 041493, 070643,   75.5,  215.6,
0460200315, 041493, 070547,   85.4,  215.7,
0460200314, 041493, 070452,   95.9,  214.2,
0460200313, 041493, 070356,  104.9,  214.0,
0460200312, 041493, 070245,  115.0,  207.8,
0460200311, 041493, 070154,  125.0,  206.4,
0460200310, 041493, 070057,  134.9,  204.6,
0460200309, 041493, 065937,  150.4,  207.2,
0460200308, 041493, 065841,  160.0,  208.5,
0460200307, 041493, 065652,  176.2,  205.7,
0460200306, 041493, 065540,  186.8,  200.5,
0460200305, 041493, 065418,  196.2,  198.5,
0460200417, 041493, 103826,  104.2,  215.1,
0460200416, 041493, 103653,  148.1,  208.2,
0460200415, 041493, 103520,  179.0,  205.3,
0470200124, 052093, 013246,    5.5,  212.3,
0470200123, 052093, 012905,   78.9,  216.9,
0470200122, 052093, 012519,  177.9,  200.8,
0470200224, 052093, 051746,   14.7,  212.6,
0470200223, 052093, 051533,   50.5,  212.6,
0470200222, 052093, 051305,   98.8,  215.6,
0470200221, 052093, 051048,  162.2,  202.5,
0470200220, 052093, 050901,  185.2,  202.1,
0470200924, 052193, 020723,    6.5,  212.5,
0470200922, 052193, 020536,   14.8,  212.8,
0470200920, 052193, 020352,   24.5,  212.8,
0470200918, 052193, 020124,   45.0,  212.8,
0470200917, 052193, 015956,   55.1,  212.7,
0470200916, 052193, 015822,   74.7,  215.7,
0470200915, 052193, 015715,   85.0,  217.0,
0470200914, 052193, 015611,   95.3,  216.3,
0470200913, 052193, 015432,  106.3,  215.2,
0470200911, 052193, 015212,  124.5,  212.8,
0470200910, 052193, 015057,  134.8,  210.0,
0470200909, 052193, 014941,  150.1,  202.0,
0470200908, 052193, 014809,  160.6,  200.8,
0470200907, 052193, 014625,  176.4,  201.4,
0470200906, 052193, 014501,  186.1,  199.2,
0490200124, 091393, 152012,   12.0,  203.3,
0490200123, 091393, 151656,   46.7,  208.4,
0490200224, -00009, -00009,   40.8,  207.4,
0490200223, -00009, -00009,   74.2,  226.1,
0490200222, -00009, -00009,   99.5,  224.0,
0490200221, -00009, -00009,  140.2,  207.6,
0490200523, 091493, 011802,    6.9,  203.5,
0490200716, 091493, 062523,   76.2,  237.3,
0490200715, 091493, 062336,   86.5,  236.8,
0490200714, 091493, 062137,   96.4,  229.0,
0490200713, 091493, 061950,  105.9,  226.8,
0490200712, 091493, 061805,  116.2,  219.5,
0490200710, 091493, 061437,  125.6,  215.4,
0490200708, 091493, 061111,  136.3,  211.2,
0490200707, 091493, 060857,  154.2,  207.9,
0490200706, 091493, 060655,  158.0,  207.5,
0490200705, 091493, 060454,  177.7,  206.9,
0490200704, 091493, 060253,  189.7,  212.2,
0490201824, 091593, 163603,    5.7,  203.1,
0490201823, 091593, 162624,   49.8,  208.3,
0500200224, 102893, 192601,    5.5,  203.5,
0500200223, 102893, 192335,   50.2,  204.4,
0500200324, 102893, 230313,    6.9,  203.6,
0500200323, 102893, 230047,   37.0,  204.3,
0500200322, 102893, 225940,   44.5,  204.7,
0500200321, 102893, 225839,   54.9,  225.8,
0500200320, 102893, 225644,   85.3,  221.4,
0500200319, 102893, 225433,  117.3,  211.9,
0500200318, 102893, 225235,  171.2,  199.0,
0500200517, 102993, 050009,    7.1,  202.7,
0500200516, 102993, 045807,   53.4,  205.7,
0500200623, 102993, 074530,    7.1,  203.3,
0500200622, 102993, 074421,   17.2,  202.7,
0500200620, 102993, 074255,   27.1,  203.9,
0500200619, 102993, 074117,   37.3,  204.4,
0500200617, 102993, 073831,   58.5,  208.1,
0500200616, 102993, 073558,   80.3,  229.1,
0500200615, 102993, 073442,   78.9,  229.3,
0500200614, 102993, 073318,   93.4,  228.5,
0500200613, 102993, 073200,  105.2,  220.4,
0500200612, 102993, 073009,  117.8,  216.3,
0500200610, 102993, 072754,  125.0,  214.1,
0500200608, 102993, 072512,  138.4,  205.1,
0500200607, 102993, 072336,  148.9,  199.1,
0500200606, 102993, 072201,  163.4,  199.2,
0500200605, 102993, 072023,  176.8,  198.9,
0500200604, 102993, 071824,  182.6,  198.8,
0500200603, 102993, 071650,  197.4,  198.7,
0510200124, 011994, 225101,  106.5,  209.1,
0510200224, 012094, 030147,    7.3,  211.7,
0510200223, 012094, 030021,   42.1,  211.8,
0510200222, 012094, 025837,   87.3,  208.9,
0510200221, 012094, 025736,   93.8,  207.9,
0510200220, 012094, 025652,   98.4,  207.5,
0510200219, 012094, 025539,  128.1,  200.7,
0510200218, 012094, 025415,  160.7,  200.2,
0510200217, 012094, 025249,  199.3,  197.6,
0510200422, 012094, 091215,    7.5,  213.0,
0510200421, 012094, 091156,   17.1,  213.0,
0510200419, 012094, 090954,   27.3,  213.0,
0510200418, 012094, 090940,   36.7,  213.4,
0510200416, 012094, 090726,   62.9,  212.8,
0510200415, 012094, 090613,   76.6,  212.8,
0510200414, 012094, 090504,   85.8,  212.8,
0510200413, 012094, 090409,   96.1,  211.3,
0510200412, 012094, 090312,  106.4,  210.5,
0510200411, 012094, 090218,  114.6,  209.7,
0510200410, 012094, 090118,  125.7,  206.2,
0510200409, 012094, 090023,  136.4,  203.8,
0510200408, 012094, 085920,  153.1,  200.8,
0510200407, 012094, 085751,  163.9,  200.2,
0510200406, 012094, 085648,  168.8,  200.3,
0510200405, 012094, 085513,  184.9,  199.3,
0510201923, 012294, 122706,    5.4,  213.8,
0510201919, 012294, 122035,  100.6,  212.3,
0520200224, 021694, 214130,    5.7,  211.5,
0520200223, 021694, 213740,   79.6,  212.6,
0520200324, 021794, 011101,    6.7,  213.5,
0520200323, 021794, 011006,   12.3,  213.5,
0520200322, 021794, 010910,   28.4,  212.5,
0520200321, 021794, 010731,   52.3,  212.5,
0520200320, 021794, 010547,   97.9,  213.9,
0520200319, 021794, 010423,  120.5,  212.9,
0520200318, 021794, 010300,  148.5,  203.7,
0520200317, 021794, 005856,  176.0,  190.1,
0520200316, 021794, 005647,  194.7,  188.2,
0520200418, 021794, 040115,  174.9,  193.7,
0520200417, 021794, 040012,  186.2,  190.6,
0520200416, 021794, 035901,  199.0,  188.1,
0520200517, 021794, 065711,    4.8,  214.7,
0520200516, 021794, 065604,   15.0,  212.8,
0520200515, 021794, 065455,   25.4,  214.5,
0520200514, 021794, 065351,   35.0,  213.3,
0520200513, 021794, 065249,   44.9,  214.6,
0520200512, 021794, 065129,   61.4,  213.8,
0520200511, 021794, 065000,   77.8,  213.4,
0520200510, 021794, 064852,   85.6,  213.3,
0520200509, 021794, 064752,   95.4,  213.8,
0520200508, 021794, 064651,  106.1,  212.6,
0520200507, 021794, 064545,  114.4,  211.7,
0520200506, 021794, 064445,  125.5,  211.0,
0520200505, 021794, 064343,  135.2,  212.0,
0520200504, 021794, 064230,  150.4,  212.0,
0520201924, 021994, 030943,    8.3,  211.9,
0520201920, 021994, 030515,   55.2,  213.0,
0530200224, 030894, 175032,   14.5,  213.1,
0530200223, 030894, 174613,  159.0,  205.9,
0530200323, 030894, 210734,    6.9,  213.5,
0530200322, 030894, 210638,   17.9,  214.1,
0530200321, 030894, 210455,   39.9,  217.2,
0530200320, 030894, 210236,  115.7,  209.5,
0530200319, 030894, 210126,  124.8,  207.9,
0530200318, 030894, 205957,  143.7,  206.0,
0530200317, 030894, 205752,  197.3,  197.5,
0530200621, 030994, 060838,    4.6,  213.9,
0530200620, 030994, 060708,   14.9,  214.3,
0530200618, 030994, 060546,   25.2,  215.0,
0530200617, 030994, 060448,   36.8,  217.2,
0530200616, 030994, 060347,   45.5,  217.7,
0530200612, 030994, 055938,   95.2,  214.5,
0530200611, 030994, 055837,  104.9,  213.4,
0530200610, 030994, 055737,  115.9,  212.6,
0530200609, 030994, 055642,  125.8,  210.4,
0530200608, 030994, 055535,  135.0,  208.1,
0530200607, 030994, 055225,  149.2,  206.3,
0530200606, 030994, 055126,  159.5,  205.3,
0530200605, 030994, 055008,  174.7,  206.4,
0530200604, 030994, 054902,  185.8,  206.9,
0540200224, 061894, 151040,   10.9,  208.9,
0540200223, 061894, 150610,  179.4,  199.4,
0540200322, 061894, 180537,    4.5,  208.5,
0540200321, 061894, 180324,   36.6,  209.4,
0540200320, 061894, 180024,   65.5,  220.9,
0540200319, 061894, 175801,  100.4,  216.3,
0540200318, 061894, 175512,  125.3,  212.1,
0540200316, 061894, 175124,  193.4,  199.4,
0540201321, 061994, 230633,    5.1,  208.4,
0540201320, 061994, 230503,   14.9,  208.4,
0540201318, 061994, 230339,   24.7,  208.3,
0540201316, 061994, 230056,   44.6,  211.0,
0540201315, 061994, 225936,   59.7,  218.7,
0540201314, 061994, 225807,   75.4,  219.4,
0540201313, 061994, 225646,   84.7,  216.9,
0540201312, 061994, 225524,   95.7,  213.8,
0540201311, 061994, 225403,  105.1,  213.6,
0540201310, 061994, 225242,  113.8,  210.9,
0540201309, 061994, 225114,  125.3,  208.3,
0540201308, 061994, 224943,  136.6,  208.4,
0540201307, 061994, 224807,  150.6,  205.4,
0540201305, 061994, 224509,  175.1,  208.1,
0540201304, 061994, 224325,  185.2,  199.2,
0540202024, -00009, -00009,    5.0,  208.3,
0540202019, -00009, -00009,  139.6,  204.9,
0550200124, 072494, 215008,    4.4,  209.2,
0550200123, 072494, 214636,  155.8,  198.9,
0550200223, 072594, 015043,    5.4,  207.3,
0550200222, 072594, 014853,   16.3,  207.4,
0550200221, 072594, 014711,   24.0,  207.7,
0550200220, 072594, 014510,   48.5,  207.7,
0550200219, 072594, 014255,   77.1,  220.2,
0550200218, 072594, 013947,  119.5,  212.4,
0550200217, 072594, 013656,  164.0,  197.5,
0550200216, 072594, 013449,  172.9,  197.9,
0550200215, 072594, 013234,  199.6,  192.2,
0550200423, 072594, 080830,    4.7,  206.8,
0550200422, 072594, 080712,   14.8,  207.0,
0550200420, 072594, 080534,   24.6,  207.1,
0550200419, 072594, 080425,   34.2,  207.5,
0550200418, 072594, 080309,   43.8,  207.3,
0550200417, 072594, 080147,   59.8,  207.6,
0550200416, 072594, 080028,   74.3,  218.1,
0550200414, 072594, 075845,   84.3,  220.0,
0550200413, 072594, 075707,   94.9,  217.0,
0550200412, 072594, 075548,  104.2,  214.3,
0550200411, 072594, 075431,  115.3,  212.1,
0550200410, 072594, 075215,  124.2,  209.6,
0550200409, 072594, 075043,  134.4,  202.8,
0550200408, 072594, 074936,  140.0,  200.8,
0550200407, 072594, 074814,  149.6,  197.0,
0550200406, 072594, 074656,  159.1,  196.7,
0550200405, 072594, 074516,  175.0,  194.3,
0550200404, 072594, 074318,  184.8,  193.8,
0550202124, -00009, -00009,    5.2,  207.0,
0550202123, -00009, -00009,  154.4,  193.0,
0560200124, 082994, 184436,    5.3,  204.0,
0560200123, 082994, 184146,  120.2,  196.9,
0560200224, 082994, 214246,    5.0,  204.0,
0560200223, 082994, 214053,   64.0,  204.2,
0560200222, 082994, 213946,   76.2,  220.7,
0560200221, 082994, 213816,  115.3,  206.7,
0560200220, 082994, 213706,  133.5,  197.0,
0560200219, 082994, 213540,  165.5,  193.4,
0560200417, 083094, 034138,   20.8,  204.4,
0560200521, 083094, 064533,    4.5,  203.9,
0560200520, 083094, 064429,   14.6,  204.0,
0560200518, 083094, 064310,   25.2,  204.2,
0560200517, 083094, 064204,   35.2,  204.2,
0560200516, 083094, 064059,   44.6,  204.2,
0560200515, 083094, 063939,   59.6,  221.1,
0560200514, 083094, 063820,   75.9,  219.1,
0560200513, 083094, 063710,   85.0,  217.8,
0560200512, 083094, 063552,   94.4,  212.2,
0560200511, 083094, 063441,  105.5,  206.0,
0560200510, 083094, 063309,  115.0,  198.0,
0560200509, 083094, 063142,  125.1,  195.3,
0560200508, 083094, 063030,  135.4,  192.0,
0560200507, 083094, 062910,  150.4,  193.8,
0560200506, 083094, 062806,  159.3,  209.9,
0560200505, 083094, 062619,  175.6,  193.8,
0560200504, 083094, 062448,  184.7,  193.1,
0560202224, -00009, -00009,    5.4,  203.8,
0560202223, -00009, -00009,  122.8,  219.0,
0570200124, 092294, 222147,    4.9,  204.3,
0570200224, 092394, 020957,   10.1,  202.2,
0570200223, 092394, 020848,   39.1,  202.4,
0570200222, 092394, 020747,   64.6,  215.8,
0570200221, 092394, 020635,   96.9,  215.9,
0570200220, 092394, 020533,  118.1,  209.0,
0570200219, 092394, 020430,  134.1,  203.6,
0570200218, 092394, 020329,  148.7,  201.3,
0570200217, 092394, 020212,  181.5,  196.0,
0570200216, 092394, 020112,  200.0,  194.9,
0570200421, 092394, 080726,    5.4,  202.4,
0570200420, 092394, 080632,   15.1,  202.4,
0570200418, 092394, 080522,   25.0,  202.4,
0570200417, 092394, 080414,   35.0,  202.2,
0570200416, 092394, 080328,   44.6,  202.8,
0570200414, 092394, 080124,   75.2,  220.9,
0570200413, 092394, 080023,   84.9,  221.3,
0570200412, 092394, 075920,   95.1,  217.7,
0570200411, 092394, 075819,  105.2,  214.1,
0570200410, 092394, 075725,  115.6,  214.1,
0570200409, 092394, 075629,  124.1,  209.8,
0570200408, 092394, 075530,  135.5,  205.4,
0570200407, 092394, 075420,  149.6,  204.1,
0570200406, 092394, 075322,  158.7,  201.8,
0570200405, 092394, 075144,  174.4,  198.7,
0570200404, 092394, 075036,  184.7,  197.3,
0570202022, -00009, -00009,    5.0,  202.0,
0570202021, -00009, -00009,   25.3,  202.1,
0570202020, -00009, -00009,  140.1,  203.2,
0580200124, 101494, 192135,    4.7,  202.9,
0580200123, 101494, 191936,   80.4,  221.0,
0580200224, 101494, 221240,    4.8,  203.1,
0580200223, 101494, 221046,   60.2,  211.6,
0580200222, 101494, 221002,   70.9,  220.7,
0580200221, 101494, 220918,   82.1,  221.5,
0580200220, 101494, 220823,   99.9,  219.5,
0580200219, 101494, 220729,  120.1,  206.4,
0580200218, 101494, 220624,  150.7,  198.2,
0580200217, 101494, 220527,  177.2,  197.4,
0580200216, 101494, 220429,  199.8,  194.2,
0580200516, 101594, 063216,    4.4,  203.2,
0580200622, 101594, 090603,    5.0,  203.4,
0580200621, 101594, 090506,   14.6,  203.5,
0580200618, 101594, 090259,   34.3,  203.5,
0580200617, 101594, 090155,   44.6,  203.8,
0580200615, 101594, 085919,   74.5,  222.9,
0580200614, 101594, 085814,   84.2,  222.7,
0580200613, 101594, 085659,   94.7,  217.6,
0580200612, 101594, 085552,  104.7,  216.2,
0580200611, 101594, 085446,  115.3,  211.9,
0580200610, 101594, 085344,  124.7,  206.3,
0580200609, 101594, 085237,  134.8,  201.7,
0580200608, 101594, 085125,  149.5,  198.8,
0580200607, 101594, 085008,  159.4,  197.3,
0580200606, 101594, 084859,  174.4,  196.9,
0580200605, 101594, 084753,  185.4,  196.1,
0580202224, -00009, -00009,    5.3,  203.4,
0590200521, 112094, 074403,    5.3,  207.1,
0590200520, 112094, 074305,   14.8,  206.3,
0590200518, 112094, 074159,   25.2,  207.1,
0590200517, 112094, 074104,   34.2,  207.6,
0590200516, 112094, 074000,   43.2,  207.1,
0590200515, 112094, 073843,   58.7,  206.9,
0590200514, 112094, 073739,   74.0,  206.8,
0590200513, 112094, 073617,   86.5,  208.4,
0590200512, 112094, 073511,   94.9,  216.9,
0590200511, 112094, 073417,  102.3,  215.6,
0590200510, 112094, 073315,  115.7,  209.6,
0590200509, 112094, 073217,  125.2,  209.1,
0590200508, 112094, 073105,  135.4,  209.4,
0590200507, 112094, 072946,  150.6,  204.8,
0590200506, 112094, 072848,  159.8,  204.2,
0590200505, 112094, 072743,  173.0,  197.7,
0590200504, 112094, 072631,  185.0,  191.5,
0590201324, 112194, 074620,    4.7,  207.1,
0590201323, 112194, 074430,   49.5,  207.0,
0590201322, 112194, 074248,   90.9,  213.8,
0590201321, 112194, 074147,  103.8,  214.6,
0590201320, 112194, 074059,  109.5,  213.8,
0590201319, 112194, 074009,  117.7,  213.2,
0590201318, 112194, 073833,  136.4,  205.7,
0590201317, 112194, 073624,  160.4,  208.5,
0590201424, 112194, 124618,    5.9,  207.4,
0590201423, 112194, 124157,  121.6,  214.4,
0600200124, 020595, 202623,    4.7,  211.4,
0600200224, 020595, 231541,    5.3,  211.7,
0600200223, 020595, 231344,   41.2,  211.8,
0600200222, 020595, 231231,   49.8,  211.5,
0600200221, 020595, 231040,   74.2,  210.4,
0600200220, 020595, 230844,  118.8,  208.2,
0600200219, 020595, 230723,  129.6,  209.8,
0600200218, 020595, 230538,  159.0,  194.4,
0600200217, 020595, 230347,  193.9,  188.9,
0600200417, 020695, 045647,    5.0,  211.8,
0600200416, 020695, 045358,  119.7,  208.3,
0600200522, 020695, 075910,    4.9,  211.5,
0600200521, 020695, 075809,   14.9,  211.5,
0600200519, 020695, 075652,   23.2,  211.9,
0600200518, 020695, 075556,   34.1,  211.8,
0600200517, 020695, 075505,   43.8,  214.2,
0600200516, 020695, 075410,   59.8,  212.0,
0600200515, 020695, 075314,   74.9,  211.4,
0600200514, 020695, 075220,   84.8,  211.3,
0600200513, 020695, 075139,   95.5,  211.0,
0600200512, 020695, 075053,  104.3,  208.6,
0600200511, 020695, 075008,  113.5,  210.1,
0600200510, 020695, 074902,  120.3,  204.7,
0600200509, 020695, 074812,  123.8,  203.3,
0600200508, 020695, 074717,  133.6,  204.6,
0600200507, 020695, 074619,  149.8,  206.3,
0600200506, 020695, 074522,  160.2,  199.4,
0600200505, 020695, 074424,  175.1,  183.5,
0600200504, 020695, 074333,  184.4,  185.0,
0600200503, 020695, 074227,  199.5,  188.3,
0610200124, 030395, 231123,    5.1,  213.3,
0610200123, 030395, 230756,  101.3,  201.0,
0610200224, 030495, 022704,    6.0,  218.3,
0610200223, 030495, 022414,   53.2,  207.8,
0610200222, 030495, 022219,   75.9,  210.8,
0610200221, 030495, 022115,   90.4,  208.6,
0610200220, 030495, 021912,  140.1,  200.1,
0610200219, 030495, 021658,  197.0,  183.1,
0610200317, 030495, 045300,    5.2,  212.9,
0610200316, 030495, 044930,   90.9,  210.7,
0610200422, 030495, 080036,    5.5,  212.7,
0610200421, 030495, 075930,   15.0,  212.5,
0610200418, 030495, 075717,   34.0,  213.9,
0610200417, 030495, 075600,   44.7,  211.8,
0610200416, 030495, 075458,   57.9,  209.9,
0610200415, 030495, 075325,   78.0,  208.1,
0610200414, 030495, 075206,   85.2,  207.5,
0610200413, 030495, 075058,   96.0,  204.2,
0610200411, 030495, 074833,  111.9,  199.4,
0610200410, 030495, 074728,  123.6,  192.5,
0610200409, 030495, 074631,  134.2,  198.7,
0610200408, 030495, 074542,  139.1,  199.0,
0610200407, 030495, 074441,  149.2,  198.7,
0610200406, 030495, 074336,  161.3,  191.8,
0610200405, 030495, 074228,  174.9,  192.3,
0610200404, 030495, 074124,  184.9,  193.2,
0610200403, 030495, 074008,  200.0,  189.9,
0620200124, 040595, 192131,    4.7,  211.7,
0620200123, 040595, 191840,   99.4,  212.8,
0620200122, 040595, 191600,  181.4,  204.2,
0620200224, 040595, 220944,    9.9,  212.1,
0620200223, 040595, 220805,   46.9,  212.6,
0620200222, 040595, 220652,   80.3,  214.1,
0620200221, 040595, 220515,  127.6,  216.4,
0620200220, 040595, 220320,  178.4,  205.1,
0620200219, 040595, 220230,  182.5,  203.1,
0620200416, 040695, 035713,  175.1,  205.2,
0620200521, 040695, 070431,    4.5,  212.4,
0620200520, 040695, 070315,   14.6,  212.1,
0620200518, 040695, 070159,   25.1,  211.8,
0620200517, 040695, 070056,   33.6,  212.0,
0620200516, 040695, 065950,   44.8,  212.2,
0620200515, 040695, 065838,   60.9,  214.2,
0620200514, 040695, 065730,   75.2,  214.3,
0620200513, 040695, 065630,   84.9,  214.1,
0620200512, 040695, 065535,   93.3,  213.3,
0620200511, 040695, 065436,  104.5,  213.7,
0620200510, 040695, 065334,  114.4,  212.1,
0620200509, 040695, 065236,  124.0,  214.3,
0620200508, 040695, 065134,  134.9,  208.8,
0620200507, 040695, 065029,  149.2,  208.3,
0620200506, 040695, 064937,  160.2,  208.4,
0620200505, 040695, 064840,  173.8,  207.1,
0620200504, 040695, 064737,  183.6,  206.3,
0620201824, 040795, 234925,    5.0,  210.8,
0630200124, 050695, 202354,    4.6,  212.8,
0630200123, 050695, 202104,   99.5,  206.0,
0630200223, 050795, 000656,    4.8,  212.8,
0630200222, 050795, 000357,   65.6,  211.1,
0630200221, 050795, 000114,  122.1,  202.5,
0630200220, 050695, 235857,  166.7,  209.0,
0630200523, 050795, 090218,    5.0,  213.2,
0630200522, 050795, 090129,    9.7,  212.9,
0630200521, 050795, 090044,   15.0,  213.1,
0630200519, 050795, 085938,   24.7,  213.2,
0630200518, 050795, 085836,   34.3,  213.2,
0630200517, 050795, 085729,   45.0,  213.3,
0630200516, 050795, 085622,   59.5,  215.2,
0630200515, 050795, 085509,   75.6,  216.3,
0630200514, 050795, 085413,   84.3,  216.5,
0630200513, 050795, 085308,   95.2,  215.8,
0630200512, 050795, 085209,  104.8,  213.9,
0630200511, 050795, 085115,  115.0,  211.9,
0630200510, 050795, 085019,  124.3,  207.7,
0630200509, 050795, 084919,  135.3,  206.6,
0630200508, 050795, 084817,  149.8,  206.1,
0630200507, 050795, 084717,  159.4,  202.3,
0630200506, 050795, 084608,  174.7,  199.9,
0630200505, 050795, 084512,  184.9,  197.9,
0630201723, 050995, 104650,    5.0,  214.8,
0630201721, 050995, 104505,   24.4,  214.6,
0630201719, 050995, 104302,   45.3,  213.5,
0630201717, 050995, 104104,   74.2,  213.0,
0630201715, 050995, 103857,  124.5,  211.8,
0630201714, 050995, 103710,  150.2,  205.1,
0630201713, 050995, 103524,  174.8,  213.9,
0640200423, 073095, 042905,    9.0,  210.5,
0640200523, 073095, 082954,    5.0,  207.6,
0640200522, 073095, 082840,   14.7,  207.4,
0640200520, 073095, 082736,   24.4,  207.2,
0640200519, 073095, 082630,   35.0,  207.6,
0640200518, 073095, 082510,   45.1,  207.7,
0640200517, 073095, 082351,   60.1,  221.1,
0640200516, 073095, 082228,   74.9,  219.3,
0640200515, 073095, 082120,   85.0,  220.3,
0640200514, 073095, 082010,   95.6,  216.8,
0640200513, 073095, 081900,  104.7,  214.7,
0640200512, 073095, 081744,  114.6,  214.6,
0640200511, 073095, 081623,  124.5,  214.1,
0640200510, 073095, 081525,  133.8,  211.6,
0640200509, 073095, 081405,  149.5,  205.0,
0640200508, 073095, 081245,  160.7,  204.6,
0640200507, 073095, 081110,  174.3,  205.1,
0640200506, 073095, 081001,  183.9,  204.6,
0640201624, 073195, 211752,    4.2,  208.2,
0640201623, 073195, 211520,   48.4,  220.1,
0640201622, 073195, 211355,   63.0,  221.6,
0640201621, 073195, 211217,   90.0,  220.0,
0640201620, 073195, 211051,  110.7,  217.6,
0640201619, 073195, 210847,  161.3,  204.3,
0640201618, 073195, 210721,  180.0,  205.2,
0640201724, 080195, 024057,    4.5,  208.4,
0640201723, 080195, 023743,  129.5,  205.4,
0640202024, -00009, -00009,    4.9,  208.0,
0650200124, 082795, 221006,    4.9,  204.6,
0650200123, 082795, 220724,  106.4,  214.9,
0650200224, 082895, 014135,    5.0,  205.0,
0650200223, 082895, 013946,   43.1,  210.6,
0650200222, 082895, 013838,   57.9,  220.0,
0650200221, 082895, 013735,   75.3,  227.0,
0650200220, 082895, 013620,   98.7,  216.2,
0650200219, 082895, 013452,  136.5,  198.1,
0650200319, 082895, 043617,    5.3,  205.0,
0650200318, 082895, 043300,  106.7,  224.7,
0650200423, 082895, 073257,    4.7,  204.8,
0650200422, 082895, 073155,   14.3,  204.8,
0650200420, 082895, 073055,   25.0,  204.8,
0650200419, 082895, 073001,   44.3,  205.7,
0650200418, 082895, 072909,   60.3,  222.9,
0650200417, 082895, 072757,   74.4,  224.0,
0650200416, 082895, 072658,   84.3,  217.6,
0650200415, 082895, 072600,   89.3,  217.0,
0650200414, 082895, 072458,   94.7,  216.9,
0650200413, 082895, 072407,  100.2,  221.9,
0650200412, 082895, 072300,  105.2,  220.3,
0650200411, 082895, 072154,  114.8,  213.6,
0650200410, 082895, 072100,  124.8,  206.4,
0650200409, 082895, 072010,  135.4,  203.3,
0650200408, 082895, 071859,  149.6,  196.0,
0650200407, 082895, 071759,  160.0,  197.9,
0650200406, 082895, 071658,  173.3,  200.3,
0650200405, 082895, 071602,  184.8,  198.1,
0650201921, 083095, 065544,    4.6,  204.5,
0650201913, 083095, 065233,   24.0,  204.7,
0650201911, 083095, 065017,   60.2,  207.7,
0650201910, 083095, 064910,   74.8,  222.4,
0660200224, 092695, 211909,    4.9,  201.1,
0660200223, 092695, 211633,  119.9,  206.8,
0660200324, 092795, 010737,    4.4,  201.0,
0660200323, 092795, 010621,   27.4,  212.8,
0660200322, 092795, 010525,   42.5,  225.4,
0660200321, 092795, 010436,   49.0,  227.7,
0660200320, 092795, 010314,   70.2,  220.9,
0660200319, 092795, 010130,   87.6,  216.8,
0660200318, 092795, 010003,  110.5,  201.6,
0660200317, 092795, 005740,  196.6,  199.8,
