botid, date, time, press, pc, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0440200912, 012093, 232643,    4.3,   1.53,
0440200911, 012093, 232519,   25.0,   1.74,
0440200910, 012093, 232406,   45.1,   1.67,
0440200909, 012093, 232239,   72.6,   1.50,
0440200908, 012093, 232103,   99.8,   1.25,
0440200907, 012093, 231939,  120.6,   1.13,
0440200906, 012093, 231812,  145.5,   0.86,
0440200905, 012093, 231631,  177.2,   0.52,
0450200320, 021693, 223819,    6.8,   1.59,
0450200319, 021693, 223633,   24.6,   1.78,
0450200318, 021693, 223505,   44.8,   2.13,
0450200317, 021693, 223332,   60.3,   1.84,
0450200316, 021693, 223224,   65.0,   2.17,
0450200315, 021693, 223109,   71.0,   1.76,
0450200313, 021693, 222832,   80.3,   1.62,
0450200312, 021693, 222656,   95.2,   1.25,
0450200311, 021693, 222523,  100.5,   1.04,
0450200310, 021693, 222400,  105.4,   1.10,
0450200309, 021693, 222209,  125.2,   0.61,
0450200308, 021693, 222022,  150.6,   0.54,
0450200307, 021693, 221844,  169.9,   0.52,
0460200518, 041493, 153805,    5.5,   1.95,
0460200517, 041493, 153609,   28.6,   1.95,
0460200516, 041493, 153552,   28.0,   1.79,
0460200515, 041493, 153424,   44.8,   1.63,
0460200514, 041493, 153242,   74.6,   1.46,
0460200513, 041493, 153121,   89.7,   1.71,
0460200512, 041493, 153020,   99.8,   2.11,
0460200511, 041493, 152950,   99.8,   1.79,
0460200510, 041493, 152845,  109.0,   2.11,
0460200509, 041493, 152737,  126.0,   1.46,
0460200508, 041493, 152555,  140.5,   1.14,
0460200507, 041493, 152454,  148.2,   1.06,
0460200506, 041493, 152303,  174.1,   0.59,
0470200618, 052093, 172422,    7.2,   3.65,
0470200616, 052093, 172117,   27.5,   2.08,
0470200615, 052093, 171923,   48.2,   1.33,
0470200614, 052093, 171816,   48.2,   1.72,
0470200613, 052093, 171634,   78.7,   1.89,
0470200612, 052093, 171539,   78.8,   1.77,
0470200611, 052093, 171336,  103.8,   1.89,
0470200610, 052093, 171148,  121.3,   1.50,
0470200607, 052093, 170619,  174.8,   0.82,
0490200422, 091393, 224029,    7.0,   1.93,
0490200421, 091393, 223826,   25.5,   2.04,
0490200420, 091393, 223810,   25.2,   2.09,
0490200419, 091393, 223611,   47.0,   2.03,
0490200418, 091393, 223349,   76.8,   2.14,
0490200417, 091393, 223136,   98.7,   1.93,
0490200416, 091393, 223114,   98.8,   1.85,
0490200413, 091393, 222501,  122.5,   1.34,
0490200409, 091393, 221919,  149.4,   0.96,
0490200407, 091393, 221627,  177.4,   0.55,
0500200418, 102993, 023037,    7.3,   2.48,
0500200417, 102993, 022904,   27.4,   2.25,
0500200416, 102993, 022721,   50.1,   2.51,
0500200415, 102993, 022605,   55.9,   2.18,
0500200414, 102993, 022448,   74.0,   2.00,
0500200413, 102993, 022336,   90.6,   2.08,
0500200412, 102993, 022230,  100.4,   1.62,
0500200411, 102993, 022126,  104.8,   1.87,
0500200410, 102993, 022011,  109.5,   1.41,
0500200409, 102993, 021838,  113.9,   1.82,
0500200408, 102993, 021716,  125.2,   1.78,
0500200407, 102993, 021541,  150.8,   0.84,
0500200406, 102993, 021414,  174.5,   0.62,
0510200823, 012094, 212030,    6.9,   1.67,
0510200822, 012094, 211822,   12.6,   1.82,
0510200821, 012094, 211704,   27.6,   1.46,
0510200820, 012094, 211544,   46.4,   1.84,
0510200818, 012094, 211311,   62.8,   1.60,
0510200817, 012094, 211133,   72.9,   1.52,
0510200816, 012094, 211001,   84.9,   0.72,
0510200815, 012094, 210831,   99.3,   1.47,
0510200814, 012094, 210723,  116.2,   1.08,
0510200809, 012094, 210153,  175.9,   0.59,
0510201624, 012194, 231545,    6.8,   1.89,
0510201621, 012194, 231242,   25.5,   2.06,
0510201619, 012194, 231101,   53.4,   1.95,
0510201617, 012194, 230914,   76.9,   1.61,
0510201613, 012194, 230627,  101.1,   0.99,
0510201611, 012194, 230558,  101.8,   0.56,
0510201610, 012194, 230542,  101.9,   1.22,
0510201608, 012194, 230339,  127.1,   0.78,
0510201607, 012194, 230215,  150.6,   1.54,
0510201606, 012194, 230009,  173.7,   0.59,
0520200924, 021794, 195707,    5.5,   2.24,
0520200923, 021794, 195548,   25.2,   2.11,
0520200922, 021794, 195427,   44.8,   1.94,
0520200920, 021794, 194920,   69.8,   1.89,
0520200918, 021794, 194735,   74.8,   1.93,
0520200916, 021794, 194523,  100.1,   1.74,
0520200914, 021794, 194326,  126.3,   1.45,
0520200912, 021794, 194112,  149.8,   1.08,
0520200910, 021794, 193858,  176.1,   1.11,
0530201124, 030994, 205953,    5.6,   1.84,
0530201122, 030994, 205750,   25.4,   1.95,
0530201121, 030994, 205630,   45.6,   1.93,
0530201117, 030994, 205254,   75.3,   2.11,
0530201115, 030994, 205116,  100.6,   1.76,
0530201114, 030994, 204956,  126.2,   1.56,
0530201113, 030994, 204824,  140.8,   1.57,
0530201111, 030994, 204649,  147.1,   1.24,
0530201109, 030994, 204443,  175.7,   0.94,
0540200716, 061994, 045935,   25.5,   2.30,
0540200714, 061994, 045742,   46.3,   2.37,
0540200713, 061994, 045628,   49.2,   2.48,
0540200712, 061994, 045439,   75.0,   2.65,
0540200710, 061994, 045315,  113.9,   2.46,
0540200709, 061994, 045200,  132.9,   2.41,
0540200707, 061994, 044951,  150.5,   1.33,
0540200706, 061994, 044817,  175.8,   0.98,
0550200815, 072594, 211726,    4.8,   3.93,
0550200814, 072594, 211614,   25.3,   2.64,
0550200813, 072594, 211513,   46.0,   2.98,
0550200812, 072594, 211344,   75.2,   2.37,
0550200811, 072594, 211235,   90.3,   2.35,
0550200810, 072594, 211158,  100.5,   1.96,
0550200809, 072594, 211036,  110.7,   1.87,
0550200808, 072594, 210942,  125.6,   1.72,
0550200807, 072594, 210836,  150.7,   0.58,
0550200806, 072594, 210732,  174.5,   1.00,
0560200817, 083094, 162541,    4.7,   5.01,
0560200816, 083094, 162421,   25.2,   2.04,
0560200815, 083094, 162318,   44.5,   2.11,
0560200814, 083094, 162146,   75.2,   2.63,
0560200813, 083094, 162021,   94.2,   2.22,
0560200812, 083094, 161927,  100.4,   1.78,
0560200811, 083094, 161822,  104.7,   1.82,
0560200810, 083094, 161732,  109.7,   1.72,
0560200809, 083094, 161649,  114.8,   1.50,
0560200808, 083094, 161544,  125.0,   1.15,
0560200807, 083094, 161419,  149.8,   0.87,
0560200806, 083094, 161254,  174.8,   0.74,
0560201113, 083194, 012530,    5.5,   2.06,
0560201110, 083194, 012312,   24.7,   2.51,
0560201109, 083194, 012148,   45.4,   2.02,
0560201108, 083194, 012042,   76.1,   2.36,
0560201107, 083194, 011926,  101.5,   2.02,
0560201106, 083194, 011809,  125.6,   1.65,
0560201105, 083194, 011653,  151.1,   1.11,
0560201104, 083194, 011457,  178.5,   0.85,
0570200716, 092394, 165913,    5.5,   1.95,
0570200715, 092394, 165731,   24.7,   2.18,
0570200714, 092394, 165601,   45.6,   2.22,
0570200713, 092394, 165440,   75.1,   2.12,
0570200712, 092394, 165321,   99.5,   1.90,
0570200711, 092394, 165227,  109.9,   1.86,
0570200710, 092394, 165123,  114.5,   1.89,
0570200709, 092394, 165026,  119.6,   1.94,
0570200708, 092394, 164928,  125.0,   1.70,
0570200707, 092394, 164828,  129.6,   1.53,
0570200706, 092394, 164703,  150.5,   0.89,
0570200705, 092394, 164526,  175.5,   0.70,
0580200319, 101594, 010049,    5.0,   1.74,
0580200318, 101594, 005924,   25.6,   2.00,
0580200317, 101594, 005812,   45.2,   1.99,
0580200313, 101594, 005519,   75.3,   2.01,
0580200312, 101594, 005412,  100.1,   1.80,
0580200311, 101594, 005327,  105.2,   1.58,
0580200310, 101594, 005245,  109.3,   1.33,
0580200309, 101594, 005135,  115.9,   1.21,
0580200308, 101594, 005048,  120.2,   1.20,
0580200307, 101594, 005009,  125.1,   1.27,
0580200306, 101594, 004858,  149.8,   0.66,
0580200305, 101594, 004719,  174.9,   0.57,
0590200123, 111994, 195457,    5.6,   1.43,
0590200120, 111994, 195223,   25.4,   1.50,
0590200119, 111994, 195031,   45.3,   1.89,
0590200111, 111994, 194546,   76.2,   1.85,
0590200110, 111994, 194411,   93.8,   1.48,
0590200109, 111994, 194239,  110.8,   1.27,
0590200108, 111994, 194104,  127.6,   0.79,
0590200107, 111994, 193915,  152.9,   0.66,
0590200106, 111994, 193702,  183.0,   0.58,
0600200316, -00009, -00009,    4.4,   2.14,
0600200315, -00009, -00009,   24.4,   2.34,
0600200313, -00009, -00009,   73.5,   2.00,
0600200312, -00009, -00009,  101.1,   1.87,
0600200311, -00009, -00009,  110.2,   1.64,
0600200310, -00009, -00009,  119.3,   1.35,
0600200309, -00009, -00009,  123.3,   1.41,
0600200308, -00009, -00009,  128.9,   1.44,
0600200307, -00009, -00009,  139.0,   1.02,
0600200306, -00009, -00009,  147.5,   0.94,
0600200305, -00009, -00009,  173.1,   0.59,
0610200713, 030495, 173826,    4.8,   1.63,
0610200712, 030495, 173708,   25.2,   1.58,
0610200711, 030495, 173601,   46.0,   1.54,
0610200710, 030495, 173448,   74.9,   1.43,
0610200709, 030495, 173317,  102.9,   1.37,
0610200708, 030495, 173109,  127.3,   0.89,
0610200707, 030495, 172947,  147.1,   0.63,
0610200706, 030495, 172820,  173.8,   0.50,
0610200812, 030495, 203014,   25.0,   1.82,
0610200811, 030495, 202824,   45.4,   1.69,
0620200316, 040695, 010405,    5.3,   1.84,
0620200315, 040695, 010230,   24.7,   1.89,
0620200314, 040695, 010104,   45.1,   1.84,
0620200313, 040695, 005928,   75.3,   1.59,
0620200312, 040695, 005750,   99.4,   1.64,
0620200311, 040695, 005639,  109.5,   1.63,
0620200310, 040695, 005520,  124.9,   1.33,
0620200309, 040695, 005350,  140.1,   0.98,
0620200308, 040695, 005242,  149.9,   0.87,
0620200307, 040695, 005137,  159.9,   0.70,
0620200306, 040695, 005005,  175.4,   0.61,
0630200321, 050795, 025750,    4.7,   2.15,
0630200318, 050795, 025610,   25.0,   2.00,
0630200317, 050795, 025454,   44.9,   2.03,
0630200314, 050795, 025233,  100.9,   1.87,
0630200313, 050795, 025111,  125.6,   1.02,
0630200311, 050795, 024912,  159.3,   0.73,
0630200309, 050795, 024752,  174.1,   0.96,
0630200418, 050795, 055932,   74.8,   1.68,
0640200124, 072995, 191450,    4.8,   2.12,
0640200122, 072995, 191317,   25.1,   1.90,
0640200121, 072995, 191145,   45.5,   2.33,
0640200119, 072995, 190907,   75.3,   1.73,
0640200117, 072995, 190626,   99.9,   1.67,
0640200115, 072995, 190314,  125.1,   1.67,
0640200114, 072995, 190132,  149.6,   1.02,
0640200113, 072995, 185942,  174.9,   1.01,
0650200716, 082895, 162953,    4.7,   1.97,
0650200715, 082895, 162851,    9.8,   1.82,
0650200714, 082895, 162736,   24.5,   2.07,
0650200713, 082895, 162611,   44.1,   2.24,
0650200712, 082895, 162458,   59.3,   2.41,
0650200711, 082895, 162346,   74.4,   2.20,
0650200710, 082895, 162118,   91.3,   1.69,
0650200709, 082895, 161950,  108.4,   1.77,
0650200708, 082895, 161806,  129.2,   1.39,
0650200707, 082895, 161615,  139.7,   0.90,
0650200706, 082895, 161513,  149.8,   0.76,
0650200705, 082895, 161336,  175.4,   0.57,
0660201020, 092795, 215206,    4.2,   1.76,
0660201018, 092795, 215045,   24.8,   2.00,
0660201017, 092795, 214934,   45.2,   2.11,
0660201016, 092795, 214817,   74.0,   2.15,
0660201014, 092795, 214644,  100.0,   1.91,
0660201013, 092795, 214525,  124.6,   1.31,
0660201011, 092795, 214356,  149.4,   0.72,
0660201009, 092795, 214231,  174.5,   0.77,
0670200316, 102695, 205029,    5.1,   2.40,
0670200315, 102695, 204918,   25.0,   2.15,
0670200314, 102695, 204814,   44.7,   2.46,
0670200313, 102695, 204657,   75.3,   2.09,
0670200312, 102695, 204542,   89.3,   1.80,
0670200311, 102695, 204448,   99.5,   1.70,
0670200310, 102695, 204354,  104.1,   1.69,
0670200309, 102695, 204256,  114.6,   1.30,
0670200308, 102695, 204152,  124.5,   1.04,
0670200307, 102695, 204041,  149.3,   0.87,
0670200306, 102695, 203931,  174.5,   0.62,
0670200305, 102695, 203820,  199.5,   0.54,
0680200319, 111695, 205113,    4.3,   1.89,
0680200315, 111695, 204837,   25.1,   2.01,
0680200313, 111695, 204738,   44.8,   1.53,
0680200312, 111695, 204638,   74.5,   1.75,
0680200311, 111695, 204530,   93.8,   1.43,
0680200309, 111695, 204441,   99.3,   1.44,
0680200308, 111695, 204348,  110.3,   1.08,
0680200307, 111695, 204252,  124.6,   0.93,
0680200306, 111695, 204148,  149.9,   0.66,
0680200305, 111695, 204043,  175.7,   0.63,
0680200416, 111695, 235314,   25.2,   2.37,
0680200414, 111695, 235156,   44.7,   2.39,
0680200410, 111695, 234803,   99.2,   2.05,
0680201124, 111795, 205632,    4.6,   1.99,
0680201121, 111795, 205436,   24.6,   2.12,
0680201119, 111795, 205329,   44.9,   1.92,
0680201117, 111795, 205154,   74.2,   1.72,
0680201115, 111795, 205018,  104.7,   1.38,
0690200318, 011696, 200208,    4.5,   1.94,
0690200317, 011696, 200041,   24.0,   2.00,
0690200316, 011696, 195856,   43.6,   2.24,
0690200315, 011696, 195638,   74.8,   1.80,
0690200314, 011696, 195517,   84.2,   1.82,
0690200313, 011696, 195414,   89.1,   1.80,
0690200312, 011696, 195244,   94.1,   1.60,
0690200311, 011696, 195144,   99.2,   1.11,
0690200310, 011696, 195050,  104.4,   1.08,
0690200309, 011696, 194859,  125.5,   0.79,
0690200307, 011696, 194635,  150.0,   0.63,
0690200306, 011696, 194520,  174.1,   0.56,
0700200319, 032696, 231232,    5.2,   1.63,
0700200318, 032696, 231044,   24.7,   1.94,
0700200315, 032696, 230734,   44.3,   2.02,
0700200314, 032696, 230556,   74.7,   1.79,
0700200313, 032696, 230414,  100.1,   1.72,
0700200310, 032696, 230000,  125.1,   0.98,
0700200309, 032696, 225830,  148.6,   0.88,
0700200308, 032696, 225648,  174.8,   0.17,
0700201523, 032896, 141605,    8.9,   2.55,
0700201520, 032896, 141007,   59.6,   1.94,
0700201519, 032896, 140831,   74.3,   2.83,
0710200315, 042396, 215217,    4.6,   2.09,
0710200314, 042396, 215113,   25.0,   2.12,
0710200313, 042396, 215011,   44.9,   2.22,
0710200312, 042396, 214907,   74.6,   2.11,
0710200311, 042396, 214811,   99.6,   1.67,
0710200310, 042396, 214719,  124.2,   1.72,
0710200309, 042396, 214633,  134.3,   1.20,
0710200308, 042396, 214527,  150.5,   1.07,
0710200307, 042396, 214421,  174.9,   0.68,
0720200313, 052296, 085905,    4.4,   2.26,
0720200312, 052296, 085734,   24.8,   2.49,
0720200311, 052296, 085622,   45.0,   2.50,
0720200310, 052296, 085454,   74.3,   2.20,
0720200309, 052296, 085327,   99.2,   1.77,
0720200308, 052296, 085214,  104.7,   1.87,
0720200307, 052296, 085018,  129.8,   1.53,
0720200306, 052296, 084750,  149.4,   1.17,
0720200305, 052296, 084548,  175.5,   1.02,
0730200314, 062596, 215724,    4.7,   2.02,
0730200313, 062596, 215526,   25.4,   2.18,
0730200312, 062596, 215344,   44.9,   2.19,
0730200311, 062596, 215212,   74.5,   2.64,
0730200310, 062596, 215042,   99.3,   2.46,
0730200309, 062596, 214924,  124.7,   1.81,
0730200308, 062596, 214800,  140.2,   1.50,
0730200307, 062596, 214654,  149.3,   1.23,
0730200306, 062596, 214546,  160.5,   1.02,
0730200305, 062596, 214440,  176.2,   0.90,
0740200312, 072696, 215000,    4.3,   2.39,
0740200311, 072696, 214848,   24.1,   2.40,
0740200310, 072696, 214726,   45.5,   2.87,
0740200309, 072696, 214600,   74.3,   2.83,
0740200308, 072696, 214440,   99.6,   1.83,
0740200307, 072696, 214314,  124.5,   1.49,
0740200306, 072696, 214136,  149.5,   1.07,
0740200305, 072696, 214018,  175.2,   0.99,
0750200315, 082096, 225432,    5.0,   2.43,
0750200314, 082096, 225332,   24.6,   2.58,
0750200313, 082096, 225220,   44.7,   2.72,
0750200312, 082096, 225106,   74.5,   2.06,
0750200311, 082096, 225000,   89.9,   1.83,
0750200310, 082096, 224854,   99.7,   2.02,
0750200309, 082096, 224758,  109.6,   1.65,
0750200308, 082096, 224700,  119.4,   1.35,
0750200307, 082096, 224610,  130.1,   1.33,
0750200306, 082096, 224500,  149.2,   0.78,
0750200305, 082096, 224348,  175.0,   0.70,
0760200319, 100196, 215238,    3.9,   2.60,
0760200318, 100196, 215132,   23.7,   2.11,
0760200317, 100196, 215028,   43.4,   2.20,
0760200316, 100196, 214920,   74.5,   1.73,
0760200314, 100196, 214738,   99.6,   1.42,
0760200313, 100196, 214646,  109.1,   1.16,
0760200312, 100196, 214536,  124.0,   1.00,
0760200310, 100196, 214414,  149.4,   0.78,
0760200308, 100196, 214248,  175.0,   0.57,
0770200723, 103096, 155547,    4.1,   2.05,
0770200721, 103096, 155433,   24.7,   1.89,
0770200719, 103096, 155253,   44.6,   2.08,
0770200717, 103096, 155111,   73.6,   2.14,
0770200715, 103096, 154939,   98.4,   2.02,
0770200713, 103096, 154755,  124.5,   1.43,
0770200711, 103096, 154629,  150.1,   1.11,
0770200709, 103096, 154515,  175.1,   0.80,
0780200323, 121096, 235539,    4.1,   2.08,
0780200321, 121096, 235429,   23.9,   2.31,
0780200319, 121096, 235312,   44.3,   2.14,
0780200317, 121096, 235138,   74.7,   2.12,
0780200315, 121096, 235000,  100.0,   1.97,
0780200313, 121096, 234832,  124.1,   1.33,
0790200312, 010797, 225819,    5.0,   1.79,
0790200311, 010797, 225701,   24.8,   2.02,
0790200310, 010797, 225545,   44.6,   1.56,
0790200309, 010797, 225419,   74.4,   1.96,
0790200308, 010797, 225227,  101.2,   1.27,
0790200307, 010797, 225105,  125.1,   0.67,
0790200306, 010797, 224957,  149.7,   0.67,
0790200305, 010797, 224831,  174.0,   0.50,
0800200316, 021797, 215936,    5.2,   1.72,
0800200315, 021797, 215822,   25.3,   1.90,
0800200314, 021797, 215716,   44.1,   1.71,
0800200313, 021797, 215604,   74.5,   1.70,
0800200312, 021797, 215452,   99.8,   1.82,
0800200311, 021797, 215400,  115.3,   1.54,
0800200310, 021797, 215304,  119.6,   1.53,
0800200309, 021797, 215154,  124.1,   1.24,
0800200308, 021797, 215038,  150.1,   1.00,
0800200307, 021797, 214926,  174.6,   1.03,
0810200313, 031197, 225107,    4.5,   1.72,
0810200312, 031197, 225005,   24.4,   2.13,
0810200311, 031197, 224845,   44.7,   2.24,
0810200309, 031197, 224721,   74.7,   1.96,
0810200308, 031197, 224609,   99.5,   1.63,
0810200307, 031197, 224447,  119.6,   1.00,
0810200306, 031197, 224327,  149.5,   0.76,
0810200305, 031197, 224157,  174.8,   0.65,
0820200311, 040897, 215434,   25.4,   1.93,
0820200309, 040897, 215154,   75.3,   1.91,
0820200308, 040897, 215028,   99.6,   1.61,
0820200307, 040897, 214844,  125.3,   0.89,
0820200306, 040897, 214704,  150.7,   0.58,
0820200305, 040897, 214550,  176.2,   0.52,
0830200312, 050697, 220323,    4.2,   1.57,
0830200311, 050697, 220215,   24.2,   2.11,
0830200310, 050697, 220115,   44.9,   1.97,
0830200309, 050697, 215957,   74.5,   1.79,
0830200308, 050697, 215855,   99.3,   1.74,
0830200307, 050697, 215749,  124.9,   1.49,
0830200306, 050697, 215647,  150.2,   0.74,
0830200305, 050697, 215541,  174.7,   0.58,
0840200314, 060397, 215415,    4.7,   1.93,
0840200313, 060397, 215307,   25.0,   2.18,
0840200312, 060397, 215157,   45.0,   2.01,
0840200311, 060397, 215039,   75.0,   2.23,
0840200310, 060397, 214919,  100.0,   2.11,
0840200308, 060397, 214653,  139.4,   0.98,
0840200307, 060397, 214527,  148.8,   0.52,
0840200306, 060397, 214407,  175.8,   0.66,
0840200409, 060497, 004554,  125.1,   1.81,
0850200314, 070897, 230257,   24.5,   2.21,
0850200313, 070897, 230145,   44.4,   1.83,
0850200312, 070897, 230037,   74.2,   1.93,
0850200311, 070897, 225933,   99.8,   1.59,
0850200308, 070897, 225647,  150.0,   1.50,
0850200307, 070897, 225527,  174.2,   0.91,
0860201124, 080397, 110456,    4.1,   2.41,
0860201122, 080397, 110234,   25.2,   2.60,
0860201121, 080397, 110059,   45.6,   2.56,
0860201120, 080397, 105902,   74.9,   2.29,
0860201118, 080397, 105656,  100.2,   1.60,
0860201114, 080397, 105332,  125.3,   1.00,
0860201112, 080397, 105133,  150.3,   0.76,
0860201110, 080397, 104920,  175.1,   0.52,
0870200418, 092597, 145743,    5.0,   2.88,
0870200417, 092597, 145625,   24.3,   1.93,
0870200416, 092597, 145523,   44.0,   2.08,
0870200415, 092597, 145353,   74.8,   2.48,
0870200412, 092597, 145153,   99.6,   2.04,
0870200411, 092597, 145021,  126.5,   1.51,
0870200410, 092597, 144851,  151.5,   1.07,
0870200409, 092597, 144655,  175.0,   0.58,
0880200412, 120597, 105747,    4.9,   1.64,
0880200411, 120597, 105627,   25.5,   1.54,
0880200410, 120597, 105511,   43.6,   1.46,
0880200409, 120597, 105344,   75.3,   1.69,
0880200408, 120597, 105221,  100.2,   1.64,
0880200407, 120597, 105057,  125.2,   0.92,
0880200406, 120597, 104923,  149.4,   0.63,
0880200405, 120597, 104803,  176.0,   0.59,
0890200312, 011098, 215612,    5.4,   1.80,
0890200311, 011098, 215402,   25.0,   1.61,
0890200310, 011098, 215248,   47.1,   1.80,
0890200308, 011098, 215026,  101.0,   1.63,
0890200307, 011098, 214910,  125.3,   1.12,
0890200306, 011098, 214746,  151.8,   0.72,
0890200305, 011098, 214616,  174.6,   0.50,
0890200409, 011198, 005226,   75.2,   1.62,
0900200312, 021898, 235432,    5.1,   1.91,
0900200311, 021898, 235258,   25.2,   2.12,
0900200310, 021898, 235142,   45.3,   1.95,
0900200309, 021898, 235018,   74.8,   1.78,
0900200308, 021898, 234902,   99.7,   2.23,
0900200307, 021898, 234742,  125.3,   1.01,
0900200306, 021898, 234622,  149.4,   0.80,
0900200305, 021898, 234458,  175.9,   0.55,
0910200312, 031798, 224820,    5.4,   2.11,
0910200311, 031798, 224650,   24.8,   2.07,
0910200310, 031798, 224520,   44.6,   2.34,
0910200309, 031798, 224350,   74.3,   2.36,
0910200308, 031798, 224220,   99.6,   1.99,
0910200307, 031798, 224050,  125.7,   1.60,
0910200306, 031798, 223920,  150.8,   1.14,
0910200305, 031798, 223750,  174.6,   0.84,
0920200112, 041498, 152638,    5.1,   2.19,
0920200111, 041498, 152516,   25.5,   2.17,
0920200110, 041498, 152358,   45.0,   1.91,
0920200109, 041498, 152230,   74.2,   1.87,
0920200108, 041498, 152102,   99.6,   1.81,
0920200107, 041498, 151814,  126.0,   1.49,
0920200106, 041498, 151646,  150.0,   1.00,
0920200105, 041498, 151522,  174.6,   0.82,
0930200313, 051298, 220218,    5.2,   1.57,
0930200312, 051298, 220103,   24.8,   1.71,
0930200311, 051298, 215948,   44.9,   1.76,
0930200310, 051298, 215833,   74.5,   1.75,
0930200309, 051298, 215733,   99.2,   1.62,
0930200308, 051298, 215603,  124.8,   1.89,
0930200307, 051298, 215433,  150.7,   1.37,
0930200306, 051298, 215305,  174.4,   0.82,
0940200812, 061798, 225403,    4.9,   2.20,
0940200811, 061798, 225231,   24.6,   2.33,
0940200810, 061798, 225105,   45.0,   2.54,
0940200809, 061798, 224939,   75.1,   2.38,
0940200808, 061798, 224758,  109.8,   1.77,
0940200807, 061798, 224646,  124.9,   1.80,
0940200806, 061798, 224528,  149.1,   0.98,
0940200805, 061798, 224407,  174.1,   0.72,
0950200812, 071598, 225513,    4.5,   2.25,
0950200811, 071598, 225333,   25.4,   2.33,
0950200810, 071598, 225204,   44.9,   2.65,
0950200809, 071598, 225029,   75.3,   2.29,
0950200808, 071598, 224859,   99.4,   1.76,
0950200807, 071598, 224714,  125.7,   1.85,
0950200806, 071598, 224538,  150.1,   1.20,
0950200805, 071598, 224409,  174.9,   0.80,
0960200117, 081098, 010548,    5.2,   3.36,
0960200111, 081098, 010255,   25.2,   3.62,
0960200110, 081098, 010131,   45.3,   3.14,
0960200109, 081098, 010000,   74.9,   1.85,
0960200108, 081098, 005810,  100.1,   1.28,
0960200107, 081098, 005645,  125.1,   0.81,
0960200106, 081098, 005516,  149.4,   0.63,
0960200105, 081098, 005345,  175.3,   0.54,
0970200117, 092898, 014827,    5.2,   2.44,
0970200112, 092898, 014652,   25.6,   2.61,
0970200111, 092898, 014507,   75.4,   2.30,
0970200110, 092898, 014502,   75.4,   2.54,
0970200109, 092898, 014352,  100.1,   1.96,
0970200108, 092898, 014242,  125.1,   1.50,
0970200107, 092898, 014132,  149.9,   0.80,
0970200106, 092898, 014017,  175.2,   0.63,
0980200319, 101898, 230128,    5.6,   2.02,
0980200317, 101898, 225920,   25.2,   2.08,
0980200313, 101898, 225735,   44.9,   2.27,
0980200311, 101898, 225548,   75.5,   2.19,
0980200309, 101898, 225328,   99.9,   2.39,
0980200308, 101898, 225200,  125.3,   1.76,
0980200307, 101898, 225044,  150.7,   1.04,
0980200306, 101898, 224929,  175.1,   0.87,
0990200322, 111098, 215501,    4.8,   1.83,
0990200319, 111098, 215247,   25.1,   1.83,
0990200313, 111098, 214915,   44.9,   1.73,
0990200309, 111098, 214617,   74.9,   1.93,
0990200308, 111098, 214516,   99.3,   1.45,
0990200307, 111098, 214415,  125.4,   0.96,
0990200306, 111098, 214315,  149.7,   0.66,
0990200305, 111098, 214215,  175.8,   0.57,
1000200312, 120898, 235419,    5.5,   2.08,
1000200311, 120898, 235256,   26.1,   1.89,
1000200310, 120898, 235137,   44.9,   1.76,
1000200309, 120898, 235011,   75.3,   1.69,
1000200308, 120898, 234857,  100.8,   1.58,
1000200307, 120898, 234736,  126.8,   1.00,
1000200306, 120898, 234617,  150.9,   0.70,
1000200305, 120898, 234457,  175.6,   0.60,
1010200317, 011399, 005937,    5.7,   1.97,
1010200315, 011399, 005722,   25.9,   2.23,
1010200313, 011399, 005557,   45.7,   2.11,
1010200309, 011399, 005402,   75.8,   1.80,
1010200308, 011399, 005222,  100.7,   1.42,
1010200307, 011399, 005047,  125.5,   1.08,
1010200306, 011399, 004922,  150.7,   0.99,
1010200305, 011399, 004752,  175.9,   0.79,
1020200821, 021899, 205750,    5.4,   1.86,
1020200819, 021899, 205548,   25.2,   1.96,
1020200816, 021899, 205334,   44.6,   1.84,
1020200814, 021899, 205138,   75.2,   1.76,
1020200811, 021899, 204848,  100.6,   1.73,
1020200808, 021899, 204609,  125.7,   1.45,
1020200806, 021899, 204448,  151.3,   1.15,
1030200312, 031699, 225346,    5.6,   1.95,
1030200311, 031699, 225232,   24.9,   2.05,
1030200310, 031699, 225121,   45.9,   2.22,
1030200309, 031699, 225001,   76.8,   3.12,
1030200308, 031699, 224846,  101.1,   1.76,
1030200307, 031699, 224731,  125.3,   1.70,
1030200306, 031699, 224616,  152.3,   1.26,
1030200305, 031699, 224442,  176.0,   0.84,
1040200524, 041499, 010833,    4.9,   1.64,
1040200523, 041499, 010713,   25.4,   1.97,
1040200522, 041499, 010613,   44.8,   2.09,
1040200521, 041499, 010505,   75.1,   1.93,
1040200520, 041499, 010349,   99.6,   2.08,
1040200516, 041499, 010205,  125.7,   1.43,
1040200515, 041499, 010038,  150.3,   1.13,
1040200514, 041499, 005920,  175.0,   0.93,
1050200312, 050999, 230040,    7.3,   2.28,
1050200311, 050999, 225915,   27.0,   3.43,
1050200310, 050999, 225800,   47.2,   4.50,
1050200309, 050999, 225645,   76.7,   2.16,
1050200308, 050999, 225530,  101.5,   2.16,
1050200307, 050999, 225415,  125.4,   1.89,
1050200306, 050999, 225300,  149.9,   0.84,
1050200305, 050999, 225145,  173.8,   0.79,
1060200312, 071399, 225218,    4.6,   2.46,
